task,test_ind,rep,w1
coffee-button-v2,0,0,0.0801238557850512
coffee-button-v2,0,1,0.0801238558100137
coffee-button-v2,0,2,0.0801238557991364
coffee-button-v2,0,3,0.08012385579674
coffee-button-v2,0,4,0.0801238583798972
coffee-button-v2,0,5,0.0801238558048303
coffee-button-v2,0,6,0.0801238557877129
coffee-button-v2,0,7,0.0801238557972819
coffee-button-v2,0,8,0.0801238557924281
coffee-button-v2,0,9,0.0801238557985334
coffee-button-v2,5000,0,0.2309241256326698
coffee-button-v2,5000,1,0.2299286730336044
coffee-button-v2,5000,2,0.2303525811261889
coffee-button-v2,5000,3,0.2304537561811177
coffee-button-v2,5000,4,0.2304481615272653
coffee-button-v2,5000,5,0.2303133345414872
coffee-button-v2,5000,6,0.2297291246945464
coffee-button-v2,5000,7,0.2301722921197194
coffee-button-v2,5000,8,0.2306711533907383
coffee-button-v2,5000,9,0.2298894269859893
coffee-button-v2,10000,0,0.4329312371313165
coffee-button-v2,10000,1,0.4311400526749628
coffee-button-v2,10000,2,0.4320170989697509
coffee-button-v2,10000,3,0.4325021780290511
coffee-button-v2,10000,4,0.4323010210888147
coffee-button-v2,10000,5,0.4319222522483192
coffee-button-v2,10000,6,0.4305680732518034
coffee-button-v2,10000,7,0.4325150594781604
coffee-button-v2,10000,8,0.4335851328056502
coffee-button-v2,10000,9,0.4313492411531409
coffee-button-v2,15000,0,0.6289155082438077
coffee-button-v2,15000,1,0.6282835900658119
coffee-button-v2,15000,2,0.6307964955213451
coffee-button-v2,15000,3,0.6304243634041646
coffee-button-v2,15000,4,0.6306505050448086
coffee-button-v2,15000,5,0.630575359792754
coffee-button-v2,15000,6,0.6290519252167516
coffee-button-v2,15000,7,0.6299136074375975
coffee-button-v2,15000,8,0.6305631375695214
coffee-button-v2,15000,9,0.6303478857183692
coffee-button-v2,20000,0,0.7987844790154507
coffee-button-v2,20000,1,0.7997569229865743
coffee-button-v2,20000,2,0.8003261713987624
coffee-button-v2,20000,3,0.7999587147379636
coffee-button-v2,20000,4,0.7997049791813968
coffee-button-v2,20000,5,0.800464255573384
coffee-button-v2,20000,6,0.7972301975700863
coffee-button-v2,20000,7,0.7976507274690149
coffee-button-v2,20000,8,0.8000794660828158
coffee-button-v2,20000,9,0.7997968280104111
coffee-button-v2,25000,0,0.9946229334421012
coffee-button-v2,25000,1,0.995240123122373
coffee-button-v2,25000,2,0.9936551825058444
coffee-button-v2,25000,3,0.9961676878864764
coffee-button-v2,25000,4,0.9946037161152312
coffee-button-v2,25000,5,0.9940074840127918
coffee-button-v2,25000,6,0.9915657026489072
coffee-button-v2,25000,7,0.9954427494286824
coffee-button-v2,25000,8,0.9963178752675566
coffee-button-v2,25000,9,0.995167985824156
coffee-button-v2,30000,0,1.1981604679594648
coffee-button-v2,30000,1,1.1942805973401247
coffee-button-v2,30000,2,1.195133270197779
coffee-button-v2,30000,3,1.1975312256050945
coffee-button-v2,30000,4,1.196090663592918
coffee-button-v2,30000,5,1.1941716443298678
coffee-button-v2,30000,6,1.192344864441369
coffee-button-v2,30000,7,1.1928549464235727
coffee-button-v2,30000,8,1.196740710034735
coffee-button-v2,30000,9,1.1961011315044965
coffee-button-v2,35000,0,1.3862527029386684
coffee-button-v2,35000,1,1.384964491307617
coffee-button-v2,35000,2,1.386470306156695
coffee-button-v2,35000,3,1.3867332094708555
coffee-button-v2,35000,4,1.3841499854598631
coffee-button-v2,35000,5,1.3861967045082502
coffee-button-v2,35000,6,1.3785318332273304
coffee-button-v2,35000,7,1.3806695459526588
coffee-button-v2,35000,8,1.3845483850813898
coffee-button-v2,35000,9,1.381329596075307
coffee-button-v2,40000,0,1.5867361964820554
coffee-button-v2,40000,1,1.5867092694700846
coffee-button-v2,40000,2,1.5889178069419956
coffee-button-v2,40000,3,1.5924202225786035
coffee-button-v2,40000,4,1.590557659309796
coffee-button-v2,40000,5,1.5878077200463547
coffee-button-v2,40000,6,1.58117296769004
coffee-button-v2,40000,7,1.5835171887651327
coffee-button-v2,40000,8,1.5946258765104897
coffee-button-v2,40000,9,1.5845648692607228
coffee-button-v2,45000,0,1.7955647787978857
coffee-button-v2,45000,1,1.7943617823098954
coffee-button-v2,45000,2,1.8009766259605258
coffee-button-v2,45000,3,1.8000328326644317
coffee-button-v2,45000,4,1.7986787553958672
coffee-button-v2,45000,5,1.7981636319380538
coffee-button-v2,45000,6,1.79764647515082
coffee-button-v2,45000,7,1.7973826151647383
coffee-button-v2,45000,8,1.7948242661613485
coffee-button-v2,45000,9,1.7923511867106734
coffee-button-v2,50000,0,1.9886776984010524
coffee-button-v2,50000,1,1.9924148202936085
coffee-button-v2,50000,2,1.989430505458103
coffee-button-v2,50000,3,1.9908002867517087
coffee-button-v2,50000,4,1.9893677657534967
coffee-button-v2,50000,5,1.9898723933152245
coffee-button-v2,50000,6,1.985526030174576
coffee-button-v2,50000,7,1.9798905801240776
coffee-button-v2,50000,8,1.991807602053916
coffee-button-v2,50000,9,1.9925453929342072
coffee-button-v2,55000,0,2.173111681122782
coffee-button-v2,55000,1,2.175638033049576
coffee-button-v2,55000,2,2.1779125925847653
coffee-button-v2,55000,3,2.175436580575109
coffee-button-v2,55000,4,2.169631236345439
coffee-button-v2,55000,5,2.1737462656529325
coffee-button-v2,55000,6,2.1687131571307803
coffee-button-v2,55000,7,2.1796788610878237
coffee-button-v2,55000,8,2.182456215478558
coffee-button-v2,55000,9,2.1709498294428538
coffee-button-v2,60000,0,2.38397272729006
coffee-button-v2,60000,1,2.377052117500143
coffee-button-v2,60000,2,2.384557198187123
coffee-button-v2,60000,3,2.3897611057636023
coffee-button-v2,60000,4,2.38308175941912
coffee-button-v2,60000,5,2.378171950709817
coffee-button-v2,60000,6,2.3852189264045007
coffee-button-v2,60000,7,2.374086433635443
coffee-button-v2,60000,8,2.38404572726732
coffee-button-v2,60000,9,2.380823530280524
coffee-button-v2,65000,0,2.5564667625835296
coffee-button-v2,65000,1,2.557258793546936
coffee-button-v2,65000,2,2.565767282166092
coffee-button-v2,65000,3,2.564937563945633
coffee-button-v2,65000,4,2.5499707260325835
coffee-button-v2,65000,5,2.55842728139071
coffee-button-v2,65000,6,2.55057621667217
coffee-button-v2,65000,7,2.556990859397007
coffee-button-v2,65000,8,2.560929688849048
coffee-button-v2,65000,9,2.547598746756711
coffee-button-v2,70000,0,2.744324482169469
coffee-button-v2,70000,1,2.747638254199924
coffee-button-v2,70000,2,2.749972710969728
coffee-button-v2,70000,3,2.756230123948964
coffee-button-v2,70000,4,2.7474392657060243
coffee-button-v2,70000,5,2.740737012099114
coffee-button-v2,70000,6,2.743177410729146
coffee-button-v2,70000,7,2.741058051705441
coffee-button-v2,70000,8,2.764133513889569
coffee-button-v2,70000,9,2.74793384768172
coffee-button-v2,75000,0,2.949113199052975
coffee-button-v2,75000,1,2.9506035212673694
coffee-button-v2,75000,2,2.9509028970793167
coffee-button-v2,75000,3,2.946574128558054
coffee-button-v2,75000,4,2.942280576280667
coffee-button-v2,75000,5,2.954971964196524
coffee-button-v2,75000,6,2.956991313234373
coffee-button-v2,75000,7,2.9506396785832485
