,task,ns_seq_ind,rep,w1
0,coffee-button-v2,0,0,0.08012385578505123
0,coffee-button-v2,0,1,0.08012385581001372
0,coffee-button-v2,0,2,0.08012385579913647
0,coffee-button-v2,0,3,0.08012385579674007
0,coffee-button-v2,0,4,0.08012385837989722
0,coffee-button-v2,0,5,0.08012385580483034
0,coffee-button-v2,0,6,0.08012385578771296
0,coffee-button-v2,0,7,0.08012385579728197
0,coffee-button-v2,0,8,0.08012385579242816
0,coffee-button-v2,0,9,0.08012385579853346
0,coffee-button-v2,5000,0,0.23092412563266984
0,coffee-button-v2,5000,1,0.2299286730336044
0,coffee-button-v2,5000,2,0.23035258112618892
0,coffee-button-v2,5000,3,0.23045375618111777
0,coffee-button-v2,5000,4,0.23044816152726538
0,coffee-button-v2,5000,5,0.2303133345414872
0,coffee-button-v2,5000,6,0.22972912469454643
0,coffee-button-v2,5000,7,0.23017229211971943
0,coffee-button-v2,5000,8,0.23067115339073832
0,coffee-button-v2,5000,9,0.22988942698598933
0,coffee-button-v2,10000,0,0.4329312371313165
0,coffee-button-v2,10000,1,0.43114005267496286
0,coffee-button-v2,10000,2,0.43201709896975093
0,coffee-button-v2,10000,3,0.43250217802905117
0,coffee-button-v2,10000,4,0.4323010210888147
0,coffee-button-v2,10000,5,0.4319222522483192
0,coffee-button-v2,10000,6,0.43056807325180346
0,coffee-button-v2,10000,7,0.43251505947816044
0,coffee-button-v2,10000,8,0.43358513280565025
0,coffee-button-v2,10000,9,0.43134924115314094
0,coffee-button-v2,15000,0,0.6289155082438077
0,coffee-button-v2,15000,1,0.6282835900658119
0,coffee-button-v2,15000,2,0.6307964955213451
0,coffee-button-v2,15000,3,0.6304243634041646
0,coffee-button-v2,15000,4,0.6306505050448086
0,coffee-button-v2,15000,5,0.630575359792754
0,coffee-button-v2,15000,6,0.6290519252167516
0,coffee-button-v2,15000,7,0.6299136074375975
0,coffee-button-v2,15000,8,0.6305631375695214
0,coffee-button-v2,15000,9,0.6303478857183692
0,coffee-button-v2,20000,0,0.7987844790154507
0,coffee-button-v2,20000,1,0.7997569229865743
0,coffee-button-v2,20000,2,0.8003261713987624
0,coffee-button-v2,20000,3,0.7999587147379636
0,coffee-button-v2,20000,4,0.7997049791813968
0,coffee-button-v2,20000,5,0.800464255573384
0,coffee-button-v2,20000,6,0.7972301975700863
0,coffee-button-v2,20000,7,0.7976507274690149
0,coffee-button-v2,20000,8,0.8000794660828158
0,coffee-button-v2,20000,9,0.7997968280104111
0,coffee-button-v2,25000,0,0.9946229334421013
0,coffee-button-v2,25000,1,0.995240123122373
0,coffee-button-v2,25000,2,0.9936551825058443
0,coffee-button-v2,25000,3,0.9961676878864764
0,coffee-button-v2,25000,4,0.9946037161152311
0,coffee-button-v2,25000,5,0.9940074840127918
0,coffee-button-v2,25000,6,0.9915657026489073
0,coffee-button-v2,25000,7,0.9954427494286825
0,coffee-button-v2,25000,8,0.9963178752675566
0,coffee-button-v2,25000,9,0.9951679858241561
0,coffee-button-v2,30000,0,1.1981604679594648
0,coffee-button-v2,30000,1,1.1942805973401247
0,coffee-button-v2,30000,2,1.195133270197779
0,coffee-button-v2,30000,3,1.1975312256050943
0,coffee-button-v2,30000,4,1.196090663592918
0,coffee-button-v2,30000,5,1.1941716443298678
0,coffee-button-v2,30000,6,1.192344864441369
0,coffee-button-v2,30000,7,1.1928549464235727
0,coffee-button-v2,30000,8,1.196740710034735
0,coffee-button-v2,30000,9,1.1961011315044963
0,coffee-button-v2,35000,0,1.3862527029386684
0,coffee-button-v2,35000,1,1.3849644913076167
0,coffee-button-v2,35000,2,1.386470306156695
0,coffee-button-v2,35000,3,1.3867332094708555
0,coffee-button-v2,35000,4,1.3841499854598631
0,coffee-button-v2,35000,5,1.3861967045082502
