,task,ns_seq_ind,rep,w1
0,coffee-button-v2,0,0,0.17722301571301188
0,coffee-button-v2,0,1,0.17722324048046123
0,coffee-button-v2,0,2,0.17722301570945354
0,coffee-button-v2,0,3,0.17722303105343737
0,coffee-button-v2,0,4,0.177223015716255
0,coffee-button-v2,0,5,0.17722301571621568
0,coffee-button-v2,0,6,0.1772230157137777
0,coffee-button-v2,0,7,0.17722301745165603
0,coffee-button-v2,0,8,0.17722301709979113
0,coffee-button-v2,0,9,0.17722301571781837
0,coffee-button-v2,5000,0,0.23432502299388946
0,coffee-button-v2,5000,1,0.233599366858012
0,coffee-button-v2,5000,2,0.23400695295360258
0,coffee-button-v2,5000,3,0.23419946382565915
0,coffee-button-v2,5000,4,0.23422983169582648
0,coffee-button-v2,5000,5,0.2342737749528726
0,coffee-button-v2,5000,6,0.23391666052963841
0,coffee-button-v2,5000,7,0.2343218739140624
0,coffee-button-v2,5000,8,0.23466532587277358
0,coffee-button-v2,5000,9,0.23395813097575202
0,coffee-button-v2,10000,0,0.4380655044575114
0,coffee-button-v2,10000,1,0.4362077295300192
0,coffee-button-v2,10000,2,0.43758171687505176
0,coffee-button-v2,10000,3,0.43795824897414987
0,coffee-button-v2,10000,4,0.43773151100463537
0,coffee-button-v2,10000,5,0.4375402109862152
0,coffee-button-v2,10000,6,0.4363734388416632
0,coffee-button-v2,10000,7,0.4380067143939749
0,coffee-button-v2,10000,8,0.43874302051176467
0,coffee-button-v2,10000,9,0.4375966740971995
0,coffee-button-v2,15000,0,0.6052890131470163
0,coffee-button-v2,15000,1,0.6059745280881763
0,coffee-button-v2,15000,2,0.6074295425830822
0,coffee-button-v2,15000,3,0.6071126658637198
0,coffee-button-v2,15000,4,0.6075532160521024
0,coffee-button-v2,15000,5,0.6077280348342121
0,coffee-button-v2,15000,6,0.6049588179458755
0,coffee-button-v2,15000,7,0.607344931241525
0,coffee-button-v2,15000,8,0.6074724619325509
0,coffee-button-v2,15000,9,0.6059971722919736
0,coffee-button-v2,20000,0,0.8191558951269412
0,coffee-button-v2,20000,1,0.81773777269782
0,coffee-button-v2,20000,2,0.8183714129816029
0,coffee-button-v2,20000,3,0.8179814198218561
0,coffee-button-v2,20000,4,0.8175710667029065
0,coffee-button-v2,20000,5,0.8182371807264459
0,coffee-button-v2,20000,6,0.8155986532419173
0,coffee-button-v2,20000,7,0.8172783489771551
0,coffee-button-v2,20000,8,0.8171410198591096
0,coffee-button-v2,20000,9,0.8181329716694955
